FinancialYear,Quarter,OrgType,OrgCode,OrgName,RegionCode,RegionName,Sex,MonitoringCategoryType,MonitoringCategory,Total referred,Recipients,Set quit date,Quit,Not quit,Not known,Quit CO,Unengaged quit,Quit (%),Not quit (%),Not known (%),Quit CO (%),Quit CO of quitters (%)
2025-26,1,National,E92000001,England,E92000001,England,All persons,Age band,18-34,16476.0,:,10566.0,5019.0,2458.0,3110.0,1138.0,:,47.5,23.3,29.4,10.8,22.7
2025-26,1,National,E92000001,England,E92000001,England,All persons,Age band,35-44,17353.0,:,12347.0,5930.0,3150.0,3280.0,1228.0,:,48.0,25.5,26.6,9.9,20.7
2025-26,1,National,E92000001,England,E92000001,England,All persons,Age band,45-59,31341.0,:,22202.0,11542.0,5804.0,4864.0,2651.0,:,52.0,26.1,21.9,11.9,23.0
2025-26,1,National,E92000001,England,E92000001,England,All persons,Age band,60 and over,28951.0,:,18656.0,10281.0,5173.0,3200.0,2518.0,:,55.1,27.7,17.2,13.5,24.5
2025-26,1,National,E92000001,England,E92000001,England,All persons,Age band,All ages,94855.0,:,63984.0,32870.0,16648.0,14506.0,7556.0,:,51.4,26.0,22.7,11.8,23.0
2025-26,1,National,E92000001,England,E92000001,England,All persons,Age band,Under 18,734.0,:,213.0,98.0,63.0,52.0,21.0,:,46.0,29.6,24.4,9.9,21.4
2025-26,1,National,E92000001,England,E92000001,England,Female,Age band,18-34,9283.0,:,5310.0,2472.0,1265.0,1584.0,678.0,:,46.6,23.8,29.8,12.8,27.4
2025-26,1,National,E92000001,England,E92000001,England,Female,Age band,35-44,8764.0,:,6052.0,2773.0,1555.0,1731.0,584.0,:,45.8,25.7,28.6,9.6,21.1
2025-26,1,National,E92000001,England,E92000001,England,Female,Age band,45-59,15618.0,:,10866.0,5448.0,2895.0,2530.0,1217.0,:,50.1,26.6,23.3,11.2,22.3
2025-26,1,National,E92000001,England,E92000001,England,Female,Age band,60 and over,14379.0,:,9246.0,4914.0,2677.0,1657.0,1155.0,:,53.1,29.0,17.9,12.5,23.5
2025-26,1,National,E92000001,England,E92000001,England,Female,Age band,All ages,48406.0,:,31564.0,15653.0,8415.0,7523.0,3645.0,:,49.6,26.7,23.8,11.5,23.3
2025-26,1,National,E92000001,England,E92000001,England,Female,Age band,Under 18,362.0,:,90.0,46.0,23.0,21.0,11.0,:,51.1,25.6,23.3,12.2,23.9
2025-26,1,National,E92000001,England,E92000001,England,Male,Age band,18-34,6556.0,:,4833.0,2336.0,1095.0,1412.0,447.0,:,48.3,22.7,29.2,9.2,19.1
2025-26,1,National,E92000001,England,E92000001,England,Male,Age band,35-44,7914.0,:,5869.0,2956.0,1485.0,1434.0,627.0,:,50.4,25.3,24.4,10.7,21.2
2025-26,1,National,E92000001,England,E92000001,England,Male,Age band,45-59,14641.0,:,10669.0,5787.0,2713.0,2170.0,1400.0,:,54.2,25.4,20.3,13.1,24.2
2025-26,1,National,E92000001,England,E92000001,England,Male,Age band,60 and over,13454.0,:,8857.0,5116.0,2311.0,1426.0,1340.0,:,57.8,26.1,16.1,15.1,26.2
2025-26,1,National,E92000001,England,E92000001,England,Male,Age band,All ages,42904.0,:,30336.0,16239.0,7643.0,6467.0,3824.0,:,53.5,25.2,21.3,12.6,23.5
2025-26,1,National,E92000001,England,E92000001,England,Male,Age band,Under 18,339.0,:,108.0,44.0,39.0,25.0,10.0,:,40.7,36.1,23.1,9.3,22.7
2025-26,1,National,E92000001,England,E92000001,England,Other gender,Age band,18-34,385.0,:,277.0,138.0,62.0,77.0,6.0,:,49.8,22.4,27.8,2.2,4.3
2025-26,1,National,E92000001,England,E92000001,England,Other gender,Age band,35-44,402.0,:,243.0,123.0,79.0,41.0,5.0,:,50.6,32.5,16.9,2.1,4.1
2025-26,1,National,E92000001,England,E92000001,England,Other gender,Age band,45-59,664.0,:,431.0,189.0,145.0,97.0,8.0,:,43.9,33.6,22.5,1.9,4.2
2025-26,1,National,E92000001,England,E92000001,England,Other gender,Age band,60 and over,775.0,:,355.0,157.0,133.0,65.0,9.0,:,44.2,37.5,18.3,2.5,5.7
2025-26,1,National,E92000001,England,E92000001,England,Other gender,Age band,All ages,2241.0,:,1319.0,614.0,420.0,285.0,28.0,:,46.6,31.8,21.6,2.1,4.6
2025-26,1,National,E92000001,England,E92000001,England,Other gender,Age band,Under 18,15.0,:,13.0,7.0,1.0,5.0,0.0,:,*,*,*,*,*
2025-26,2,National,E92000001,England,E92000001,England,All persons,Age band,18-34,16207.0,:,9893.0,4850.0,2376.0,2667.0,1090.0,:,49.0,24.0,27.0,11.0,22.5
2025-26,2,National,E92000001,England,E92000001,England,All persons,Age band,35-44,18005.0,:,11754.0,5966.0,3010.0,2778.0,1283.0,:,50.8,25.6,23.6,10.9,21.5
